Year,Locationdesc,Question,Response,Data_value
2014,Alabama,Have you used the internet in the past 30 days?,No,24.4
2014,Alaska,Have you used the internet in the past 30 days?,No,10.1
2014,Arizona,Have you used the internet in the past 30 days?,No,17.1
2014,Arkansas,Have you used the internet in the past 30 days?,No,22.7
2014,California,Have you used the internet in the past 30 days?,No,19.4
2014,Colorado,Have you used the internet in the past 30 days?,No,13.2
2014,Connecticut,Have you used the internet in the past 30 days?,No,16.3
2014,Delaware,Have you used the internet in the past 30 days?,No,18.5
2014,District of Columbia,Have you used the internet in the past 30 days?,No,15.4
2014,Florida,Have you used the internet in the past 30 days?,No,18.1
2014,Georgia,Have you used the internet in the past 30 days?,No,19.5
2014,Hawaii,Have you used the internet in the past 30 days?,No,19.6
2014,Idaho,Have you used the internet in the past 30 days?,No,13.9
2014,Illinois,Have you used the internet in the past 30 days?,No,18.2
2014,Indiana,Have you used the internet in the past 30 days?,No,19.3
2014,Iowa,Have you used the internet in the past 30 days?,No,16.8
2014,Kansas,Have you used the internet in the past 30 days?,No,16.1
2014,Kentucky,Have you used the internet in the past 30 days?,No,21.3
2014,Louisiana,Have you used the internet in the past 30 days?,No,23
2014,Maine,Have you used the internet in the past 30 days?,No,15.2
2014,Maryland,Have you used the internet in the past 30 days?,No,15.6
2014,Massachusetts,Have you used the internet in the past 30 days?,No,14.7
2014,Michigan,Have you used the internet in the past 30 days?,No,17
2014,Minnesota,Have you used the internet in the past 30 days?,No,13.2
2014,Mississippi,Have you used the internet in the past 30 days?,No,29.6
2014,Missouri,Have you used the internet in the past 30 days?,No,18.5
2014,Montana,Have you used the internet in the past 30 days?,No,17
2014,Nebraska,Have you used the internet in the past 30 days?,No,16.4
2014,Nevada,Have you used the internet in the past 30 days?,No,18
2014,New Hampshire,Have you used the internet in the past 30 days?,No,10.9
2014,New Jersey,Have you used the internet in the past 30 days?,No,17.1
2014,New Mexico,Have you used the internet in the past 30 days?,No,23.6
2014,New York,Have you used the internet in the past 30 days?,No,20
2014,North Carolina,Have you used the internet in the past 30 days?,No,21.5
2014,North Dakota,Have you used the internet in the past 30 days?,No,17.4
2014,Ohio,Have you used the internet in the past 30 days?,No,17.4
2014,Oklahoma,Have you used the internet in the past 30 days?,No,20.4
2014,Oregon,Have you used the internet in the past 30 days?,No,12.8
2014,Pennsylvania,Have you used the internet in the past 30 days?,No,19.4
2014,Rhode Island,Have you used the internet in the past 30 days?,No,16.9
2014,South Carolina,Have you used the internet in the past 30 days?,No,22.7
2014,South Dakota,Have you used the internet in the past 30 days?,No,18.5
2014,Tennessee,Have you used the internet in the past 30 days?,No,21.9
2014,Texas,Have you used the internet in the past 30 days?,No,21
2014,Utah,Have you used the internet in the past 30 days?,No,10.6
2014,Vermont,Have you used the internet in the past 30 days?,No,14
2014,Virginia,Have you used the internet in the past 30 days?,No,16
2014,Washington,Have you used the internet in the past 30 days?,No,12.6
2014,West Virginia,Have you used the internet in the past 30 days?,No,26.8
2014,Wisconsin,Have you used the internet in the past 30 days?,No,16.5
2014,Wyoming,Have you used the internet in the past 30 days?,No,15.7
2014,Guam,Have you used the internet in the past 30 days?,No,24.9
2014,Puerto Rico,Have you used the internet in the past 30 days?,No,43.8
2014,All States and DC (median) **,Have you used the internet in the past 30 days?,No,17.4
2014,"All States, DC and Territories (median) **",Have you used the internet in the past 30 days?,No,17.4
